State,total_sales,total_profit
California,454407.5915000009,75473.84360000011
"New York",311579.63299999974,73944.56520000006
Washington,137590.17199999993,33200.475099999996
Michigan,76715.58400000002,24340.948699999994
Virginia,71027.08999999998,18461.0153
Texas,172166.63180000006,-25523.986400000005
Ohio,78441.64499999993,-16591.51260000001
Pennsylvania,116281.23700000002,-15432.481700000004
Illinois,79528.28699999988,-12020.468099999978
"North Carolina",55569.21199999997,-7475.0314000000035
