Category,Sub_Category,total_sales,total_profit,profit_margin_pct
Furniture,Tables,206965.5320000001,-17725.481100000008,-8.56
Furniture,Bookcases,114879.99629999997,-3472.5559999999978,-3.02
"Office Supplies",Supplies,46025.47000000001,-1347.3654999999983,-2.93
Category,Sub_Category,0,0,NULL
"Office Supplies",Fasteners,3008.6559999999995,942.6377999999997,31.33
Technology,Machines,189238.63099999996,3384.7569,1.79
"Office Supplies",Labels,12486.312,5546.253999999998,44.42
"Office Supplies",Envelopes,16139.489999999993,6461.269100000003,40.03
"Office Supplies",Art,27118.791999999954,6527.786999999998,24.07
Furniture,Furnishings,82752.23000000004,14294.297999999995,17.27
"Office Supplies",Appliances,107532.161,18138.005399999995,16.87
"Office Supplies",Storage,216803.21200000012,21529.9083,9.93
Furniture,Chairs,328449.10300000076,26590.166300000026,8.1
"Office Supplies",Binders,206365.71700000006,30038.821299999996,14.56
"Office Supplies",Paper,88049.11800000015,32795.56099999999,37.25
Technology,Accessories,167380.3180000001,41936.63569999993,25.05
Technology,Phones,329753.0880000001,44449.0791,13.48
Technology,Copiers,149528.02999999994,55617.82490000001,37.2
